샌드밀 모터 전류량,샌드밀 온도,모터 RPM,생산량,유량
55.73580906817065,48.0,3249.567936358827,8991.813877703615,7974.460590330794
60.69939356313093,69.16552608744317,3394.0,9014.182168509857,8243.0
51.30630066613596,60.81620820105332,3294.391121602858,8992.721314078299,8104.1376770509205
64.0,70.0,3294.0,9020.0,7485.0
52.620019931352005,53.70881194194394,3132.0,8986.084189531311,7630.0
58.0,57.0,3377.0,8989.0,6718.397316850056
57.0,60.488063802240475,3394.0,9020.0,7385.713227671969
57.0,67.0,3342.8238050331474,9019.0,7942.0
48.0,48.0,3377.0,8980.0,7290.0
64.0,70.0,3258.0,9020.0,6822.0
52.0,56.0,3262.0,8985.0,7143.541749601413
58.56753647664272,64.30040463582534,3287.0,9011.922103536052,6828.0
51.88369726077847,53.116560464359246,3294.0,8980.0,7485.0
49.0,50.0,3389.747350487937,8989.0,7404.0
60.67536091979846,64.5097708988759,3289.650318732633,9007.194190851744,7723.406362400589
56.78717507786331,61.67782082757167,3363.0,9000.571298220653,7613.0
52.0,56.0,3108.0,8985.0,6738.0
49.0,50.0,3331.0,8989.0,6616.0
52.53792686524567,53.549462849767934,3132.0,8985.794048678887,7630.0
58.32931924819008,66.35880372383684,3213.3762407933514,9009.024711785043,7999.4916768696585
55.0,54.0,3366.0,8982.0,7129.970083038904
48.0,48.0,3377.0,8980.0,7290.0
52.45760302403864,53.39783527996815,3132.0,8985.517712839392,7630.0
55.80805407486589,54.972052719673655,3249.0872457467517,9013.30275730027,7760.578253811946
49.419555726009655,48.0,3309.142735916157,8987.20261402022,8243.0
50.78145822305122,51.271877287303546,3167.0,8980.0,7902.0
51.54687815836362,54.48629848267459,3277.8715867445476,8984.74634508467,7237.60563453327
55.25824635845276,54.7453788670034,3205.4925993870525,8991.687786361308,8243.0
60.0675250285501,63.870798588826894,3246.1777462573896,9005.869323699702,7094.654018655268
54.0,55.0,3321.0,8991.0,7188.385306248673
59.0,67.0,3392.0,9013.0,7808.106308073693
48.0,48.0,3108.0,8980.0,6863.434705006521
64.0,69.1556769863214,3198.074610648562,9016.853085260003,7885.234142422191
52.0,53.0,3115.0,8990.0,6807.741710712864
55.0,48.0,3376.0,8987.0,6616.0
55.0,48.0,3376.0,8987.0,6616.0
63.0,69.0,3108.0,9016.0,7412.0
52.19506338540119,54.964860804587886,3394.0,8984.000519675288,7298.836200050383
48.921210727234964,52.80273832144248,3305.7089383488305,8985.973561173534,8243.0
53.46651752243901,55.32336772313228,3376.0,8989.021559715058,7294.0
64.0,70.0,3258.0,9020.0,6822.0
57.86126681305206,63.12030765322041,3392.0,9008.35355865925,8119.0
50.190051588399065,49.542844891072036,3279.3385166859125,8988.392481592253,8243.0
52.47741608287611,55.85174938769864,3363.2042262623413,8989.204481647681,7545.96532070045
64.0,70.0,3258.0,9020.0,6822.0
59.0,64.0,3108.0,8999.0,6822.0
48.0,48.0,3212.159730414007,8980.0,7551.129551072219
64.0,67.0,3211.0918564038793,9019.0,6920.0
52.0,53.0,3115.0,8990.0,6780.654009151507
48.88053458792596,52.05099191477694,3233.48940743536,8981.299771532502,6950.677530649456
58.296044056253606,63.848121808229045,3210.913559120928,9010.55308965102,7934.8882733950295
57.80006313810294,63.61610063809506,3394.0,9004.095228790757,7741.952392339598
63.0,65.0,3108.0,9010.0,7934.0
57.0,61.0,3212.0,9016.0,8076.4516127849
48.0,48.0,3377.0,8980.0,7290.0
50.36252002640725,53.61443048879354,3394.0,8984.556011623452,7195.8539876205505
57.0,61.22330633872733,3394.0,8980.0,7589.418079749652
48.0,50.80998247395164,3175.343978450393,8980.0,7637.059956592762
54.0,55.0,3321.0,8991.0,7211.669208964828
53.70929713272133,55.79183736199818,3376.0,8989.870402550165,7294.0
63.0,65.0,3108.0,9010.0,7934.0
51.175937916506214,51.93155178021753,3262.0,8980.0,6738.0
52.0,53.0,3115.0,8990.0,6880.832879735993
53.211348319109575,55.33742485299885,3152.0,8984.837230189445,7588.0
53.57074541636095,55.940213863348646,3152.0,8986.655918096792,7588.0
51.4447196464482,52.380444520146106,3262.0,8980.0,6738.0
61.560355238478,65.442672733444,3385.3605593840307,9009.135911446558,8243.0
51.379187946666924,54.69124487526837,3167.945214015579,8986.793685806284,8243.0
58.09100675289074,61.705397810160605,3315.9530128719457,9001.29153257818,8243.0
58.0,63.0,3394.0,8982.0,7844.933769412363
48.624507412918355,51.77844779640286,3243.0613362132026,8980.740074084815,6909.9410364557325
49.0,56.0,3394.0,8982.0,7482.0
57.65768657709635,61.325008926471405,3235.75731416947,9000.576904635509,8118.8058918909155
53.0,62.0,3191.3436051157,8980.0,7588.0
49.000914408166246,54.89597474569776,3290.6458894117573,8993.140910704406,6943.8454441949325
64.0,70.0,3258.0,9020.0,6822.0
59.0,64.0,3108.0,8999.0,6822.0
56.66056380936836,67.02399310360107,3205.999973636873,9000.185032727915,6944.381912296562
64.0,70.0,3225.069099966393,9007.385609500308,7588.180081109906
48.0,48.0,3377.0,8980.0,7290.0
64.0,67.0,3214.6482734707442,9019.0,6920.0
54.0,53.0,3282.0,8982.0,8000.576606587855
53.70494495633758,55.781754747936326,3376.0,8989.852713366421,7294.0
57.9324800409371,63.2397144583153,3153.907265115921,9008.714303119968,7938.18086984269
53.28564494855478,70.0,3323.7932962379305,9008.17800649232,7722.8488752920375
56.9892297483511,62.06436303688917,3363.0,9001.274187304827,7613.0
59.0851073204466,61.74224972126696,3298.2096974230603,8990.299507217864,7627.3381584357985
60.71861268676115,69.20141241956249,3394.0,9014.240720991074,8243.0
57.66016159116744,62.78425095114014,3392.0,9007.337389159373,8119.0
58.11832506742119,61.810320540880326,3184.6667447659997,9001.587971470633,7685.055315296879
59.89500086432578,67.62154643314878,3394.0,9011.373152597178,8243.0
63.81879169719921,67.83334194916895,3382.587344062805,9014.095456180072,8080.161422018214
64.0,70.0,3258.0,9020.0,6822.0
57.0,60.350028813160066,3108.0,9018.976789302817,7995.847954221075
54.0,55.0,3321.0,8991.0,7239.2295765284425
60.0427202091695,61.01042401845182,3285.7902869327595,8998.91849031409,6868.738027122558
55.0,55.0,3169.876197980537,8981.0,7789.0
60.95773526517432,69.65927331363707,3152.0,9015.08194150577,7588.0
54.0,53.0,3394.0,8982.0,7865.0
49.67068298997634,49.41204116159268,3132.0,8980.0,7630.0
53.04524977133557,54.51887465566524,3331.0,8987.55819952787,7404.0
53.0,54.0,3265.0,8990.0,8243.0
62.184196420351235,70.0,3152.0,9019.331706421182,7588.0
55.48090670805351,48.0,3111.680953109853,8990.850959494197,8243.0
49.05083608603727,52.23228877456716,3239.1354551113677,8981.680265568237,6991.482003338479
51.0,55.0,3375.0,8981.0,7065.015967768534
51.76135600310855,53.57183463611103,3203.6942376704546,8989.200127958147,7172.520868251809
58.98761792168857,65.88732511684266,3258.0,9008.220075265392,6822.0
63.33519846746439,70.0,3212.0,9020.0,7819.0
55.0,55.0,3155.0359281411584,8981.0,7789.0
57.57450059154849,62.639853613432074,3392.0,9006.901272909192,8119.0
51.47946013721777,64.1658937617936,3184.210189019515,8980.0,7216.645038121153
57.41500127225424,62.37320952083143,3218.2981300429274,9006.096376724914,7476.4305690537085
58.40947423631432,62.11720723797997,3194.5441518777684,9002.227224469387,7558.06697196227
64.0,70.0,3294.0,9020.0,7485.0
57.0,61.0,3108.0,9016.0,7819.0
49.48160619330386,53.71301644622584,3303.0183959445353,9006.370954404261,7919.472916733971
50.61221830369289,49.86211004726118,3278.3328068751275,8980.0,7664.814602091483
49.0,56.0,3271.0,8982.0,6616.0
58.0,63.0,3299.102687005339,8982.0,8243.0
55.0,55.0,3183.0,8981.0,8243.0
64.0,70.0,3363.026158977061,9020.0,7053.723674884793
55.0,48.0,3376.0,8987.0,6616.0
52.77053686923315,56.16160284551096,3299.0,8989.846658142798,8091.0
54.0,53.0,3394.0,8982.0,7865.0
53.99224562401866,56.33105625903653,3376.0,8990.851622610224,7294.0
54.0,55.0,3321.0,8991.0,7196.039263499588
57.886817608967895,61.56595413053587,3187.2882324482475,9001.080617226606,7722.189019029626
49.98386089640954,52.40990902224957,3232.370699473591,8980.0,8177.615735021637
48.0,53.0,3299.0,8982.0,7819.485072768043
58.0,57.0,3377.0,8989.0,6643.231014560937
63.0,65.0,3108.0,9010.0,7934.0
57.8980293290534,63.181861288851785,3108.0,9008.539305088196,7926.173017347566
48.0,48.0,3350.3282598993555,8980.0,7320.970789615013
64.0,70.0,3258.0,9020.0,6822.0
49.456552193626116,54.93466143016797,3224.7938693011747,8986.925727676202,8183.328089663948
49.0,50.0,3331.0,8989.0,6616.0
49.913783260146225,53.14244456465486,3187.0156930785042,8983.572954335094,6984.296590453309
50.75145600823201,50.13213462952626,3108.0,8980.0,7325.267444286385
58.21780309621085,61.917228881169045,3180.7681310707453,9001.806817133065,7646.4447733187735
57.0,60.32935208997765,3349.793395792015,8990.071395485898,7970.546331163642
