저감미당 온도,오일 온도,열수 온도,호모믹스탱크 온도,호모믹스탱크 중량,호모믹스탱크 TS,정체시간,호모믹스탱크 교반속도,S1 탱크 온도,유량,조제액 온도,조제액 색도
48.56854482806807,72.5,72.60203011213473,63.24539075583665,3077.0,65.0,5643.320637401826,2322.3933986700354,61.18749688015031,4202.66382498483,61.737679235255165,0.5225886739322619
56.52666307967668,72.15472296114125,73.94261502820099,59.48647096961148,3077.0,65.0,2831.5126058533233,2340.008675898891,58.55472961024922,4212.3327535350945,58.74559262279291,0.5135740945150162
45.2266510681667,72.5,70.5,57.775433749049895,3077.0,65.0,2580.0,2139.0,57.56013899048883,4230.0,57.244295645452496,0.4788674912227783
54.01132817452565,72.38938038889789,71.69471703419492,65.4,3069.3040906048336,65.21022868329538,2580.0,2371.7424301622414,65.1,4230.0,64.6,0.59
46.47090493499432,71.2,69.2,56.9609114377141,3082.0,64.9,2640.0,2490.0,56.745825837495715,4130.0,56.45660496229095,0.4717687758052514
48.71843430025002,72.67722314905134,70.07351813167125,55.42202132951774,3082.0518227526322,64.90451898863138,2640.0,2356.1460532604247,54.685079833645794,4025.8182006345837,55.602985451622565,0.45949472709204753
46.1,71.6,69.0,65.4,3082.0,64.9,2580.0,2369.0,65.1,4289.313269589414,64.6,0.59
47.5,72.5,70.5,59.1,3070.819571760575,65.16680776762936,2580.0,2345.0,58.9,4230.0,58.6,0.49
44.110940246725484,82.92667995130824,70.74318068405965,52.701261552027674,3079.411356415741,65.01109824061548,2600.2729538860244,2391.6090957758606,52.51407928337214,4170.7383863202795,52.228251364887925,0.41981305051403217
44.3,72.5,71.4,58.4,3077.0,65.0,2640.0,2844.1095536440935,58.2,4200.0,57.9,0.48
46.5,74.7,72.4,51.0,3077.0,65.0,2700.0,2419.0,50.9,4120.418774717061,50.7,0.4
46.0,73.0,65.1,52.5,3077.0,65.0,2700.0,2467.0264845739803,52.3,4100.0,52.1,0.42
47.6,72.5,71.7,59.0,3086.0,64.8,2580.0,2134.6478086173206,58.7,4230.0,58.4,0.48
51.21186634679128,87.7,74.25844089068994,58.595137705439825,3086.1919678006216,64.80515995821636,2616.6781744500495,2518.471417943753,65.1,4221.029454230893,60.20474304218217,0.46136081773943133
47.6,74.8450273936087,71.8,57.6,3077.0,65.0,2580.0,2377.0,57.4,4210.0,57.2,0.47
48.006178800076064,72.9,70.5,59.71405576763657,3077.0,65.0,2640.0,2335.0,59.48831514076094,4220.0,59.191818265135694,0.5090410775020203
52.74357038759373,72.14619903862818,68.92736576269618,58.984122695182236,3101.0,64.5,6371.629631070531,2124.5845199631062,59.01299510617216,4103.801540944049,54.2271846407619,0.477409173188812
43.1,70.3,71.87015985018482,51.0,3084.0456403214207,65.02116194261916,6477.018612098252,2354.752046226617,50.9,4216.9080220770975,50.7,0.4
47.0,74.9,70.03712158041766,56.5,3077.0,65.0,4140.0,2173.0,56.3,3800.0,56.0,0.46
45.95858022483139,72.32750657813823,71.63890031322454,56.10033374043617,3077.0,65.0,2640.0,2391.2792605312156,55.887728591234286,4169.921492624472,55.59330491462079,0.45992059680748487
48.1467302740569,70.95979534379212,71.38421576001959,60.04824081033751,3079.2661787444954,64.81795810939595,4106.545353670659,2308.6384919196958,59.76802107256119,4229.848211875636,59.47302107256115,0.5731263170350737
49.43027810778526,72.77975215819521,65.1,59.77765696816029,3077.0,65.0,2580.0,2294.875949463388,59.86546759276671,4250.0,59.43566480551507,0.4904539937511435
47.0,74.9,69.99757273691178,56.5,3077.0,65.0,4140.0,2173.0,56.3,3800.0,56.0,0.46
47.60022229080926,71.92213710017685,70.2507983342363,59.86407751097428,3101.0,64.5,4634.883707436555,2350.6485561525014,56.462482421224486,4122.524503952723,58.90346994670727,0.44422263130454515
45.39237253604121,74.2746016549194,71.91579918428957,55.21282350731343,3081.4286352856934,64.94764145093978,2340.0,2069.66288293771,54.6564852699147,4229.629595721374,54.69657350731338,0.4
49.2,72.1,72.3,61.1,3077.0,65.0,2340.0,2313.0,60.8,4230.0,60.5,0.4607983700409297
48.03634256699629,72.32058350033611,72.78081664048199,59.45324070874538,3077.0,65.0,3863.8962368183,2390.524878277093,59.297626227722226,3864.0747336903055,59.173278577062,0.5732626227722211
43.1,72.58489094761153,70.33783415854847,51.0,3067.910089897496,65.46342162618306,2605.26192292802,2414.110951080835,50.9,4236.018613267594,50.7,0.4
47.6,74.59617469146696,71.8,57.6,3077.0,65.0,2580.0,2377.0,57.4,4210.0,57.2,0.47
46.79522311187477,73.1,72.4,57.55184776432613,3077.0,65.0,2640.0,2341.0,57.332666437399,4130.0,57.03508059605787,0.47639911061232787
48.3433360455529,72.33340800739549,73.15461439142432,60.3101292239409,3077.0,65.0,3896.012151750424,2262.8486877487976,60.08405295557076,4252.448668217906,59.7880187552057,0.5141498069355086
43.1,71.6,72.8,54.01887593365782,3077.0,65.0,2640.0,2428.0,53.78839684226269,4200.0,53.41956411110179,0.4132839957230484
47.6,76.69875906822442,70.3,57.6,3072.0,65.1,7860.0,2851.0,57.4,4210.0,57.1,0.52
46.0,73.0,65.1,52.5,3077.0,65.0,2700.0,2432.0,52.3,4045.698622582109,52.1,0.42
43.1,72.22184003949413,70.01511001028416,51.0,3077.0,65.0,2580.0,2365.9135039256275,50.9,4224.047862898311,50.7,0.4
